iter	Passed	Remaining
1319	144906	403981
1320	145005	403843
1321	145099	403688
1322	145199	403550
1323	145308	403438
1324	145408	403301
1325	145510	403172
1326	145622	403067
1327	145725	402938
1328	145823	402797
1329	145923	402661
1330	146034	402555
1331	146150	402463
1332	146245	402313
1333	146349	402187
1334	146453	402062
1335	146540	401888
1336	146651	401782
1337	146742	401623
1338	146851	401510
1339	146940	401345
1340	147033	401188
1341	147136	401063
1342	147241	400938
1343	147346	400816
1344	147456	400708
1345	147563	400592
1346	147653	400429
1347	147750	400286
1348	147856	400165
1349	147962	400046
1350	148069	399929
1351	148173	399804
1352	148272	399668
1353	148380	399553
1354	148498	399465
1355	148611	399365
1356	148724	399266
1357	148822	399125
1358	148914	398969
1359	149007	398814
1360	149099	398656
1361	149204	398535
1362	149307	398410
1363	149417	398301
1364	149501	398123
1365	149591	397960
1366	149688	397819
1367	149790	397689
1368	149890	397554
1369	150000	397445
1370	150092	397289
1371	150207	397196
1372	150320	397094
1373	150430	396988
1374	150515	396813
1375	150609	396663
1376	150705	396517
1377	150803	396379
1378	150904	396247
1379	151014	396138
1380	151116	396009
1381	151228	395909
1382	151331	395780
1383	151435	395657
1384	151542	395541
1385	151648	395424
1386	151749	395291
1387	151867	395204
1388	151972	395085
1389	152070	394945
1390	152170	394813
1391	152280	394702
1392	152392	394602
1393	152493	394470
1394	152589	394325
1395	152695	394208
1396	152796	394076
1397	152910	393979
1398	153018	393866
1399	153120	393737
1400	153220	393605
1401	153323	393480
1402	153415	393326
1403	153520	393205
1404	153653	393155
1405	153767	393058
1406	153878	392954
1407	153981	392827
1408	154063	392648
1409	154170	392534
1410	154274	392411
1411	154372	392271
1412	154463	392117
1413	154575	392013
1414	154674	391879
1415	154786	391776
1416	154893	391660
1417	155001	391547
1418	155107	391429
1419	155214	391316
1420	155317	391191
1421	155423	391072
1422	155522	390938
1423	155616	390790
1424	155721	390670
1425	155831	390561
1426	155952	390482
1427	156063	390377
1428	156170	390263
1429	156279	390153
1430	156381	390025
1431	156484	389899
1432	156597	389799
1433	156692	389655
1434	156804	389551
1435	156931	389487
1436	157045	389388
1437	157153	389276
1438	157251	389141
1439	157349	389003
1440	157447	388865
1441	157555	388754
1442	157659	388630
1443	157758	388495
1444	157848	388339
1445	157958	388232
1446	158059	388102
1447	158156	387963
1448	158267	387859
1449	158353	387692
1450	158457	387572
1451	158560	387447
1452	158667	387332
1453	158775	387221
1454	158885	387111
1455	158987	386985
1456	159090	386861
1457	159191	386732
1458	159283	386582
1459	159378	386438
1460	159493	386343
1461	159590	386204
1462	159692	386077
1463	159775	385905
1464	159872	385768
1465	159985	385666
1466	160103	385579
1467	160196	385431
1468	160288	385282
1469	160381	385134
1470	160482	385005
1471	160587	384887
1472	160687	384754
1473	160777	384601
1474	160878	384472
1475	160984	384356
1476	161086	384229
1477	161193	384115
1478	161286	383967
1479	161378	383820
1480	161485	383704
1481	161596	383601
1482	161711	383505
1483	161806	383363
1484	161917	383258
1485	162016	383127
1486	162121	383008
1487	162235	382910
1488	162338	382787
1489	162423	382622
1490	162512	382465
1491	162629	382376
1492	162731	382250
1493	162830	382117
1494	162928	381982
1495	163036	381872
1496	163134	381736
1497	163247	381636
1498	163351	381515
1499	163438	381356
1500	163542	381236
1501	163652	381129
1502	163755	381007
1503	163854	380875
1504	163966	380771
1505	164083	380681
1506	164196	380582
1507	164310	380486
1508	164414	380365
